,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
0,2019-09-30 12:00:00 AM,0.9756097560975618,3.0482340338432,-7.1428571428571415,13.178897537574649,16.56,6.13,L
1,2019-06-28 12:00:00 AM,-8.37438423645322,-0.6345108071917244,15.818181818181815,-11.76319297689113,-6.01,5.12,W
2,2019-03-29 12:00:00 AM,-2.7272727272727093,0.0,2.735781137509005,0.0,-34.26,1.01,W
3,2018-12-28 12:00:00 AM,11.061946902654867,0.06994674254730326,-7.549962990377495,-4.404573330929821,-34.26,1.01,L
4,2018-09-28 12:00:00 AM,-6.965174129353241,1.0863166993189557,7.639366827253954,-25.801486336067708,-13.95,4.15,W
5,2018-06-29 12:00:00 AM,0.46511627906975755,-0.36813106979414784,25.633383010432187,-16.99659510349017,-38.17,-3.6,L
6,2018-03-30 12:00:00 AM,6.074766355140202,0.0,-6.913827655310616,0.0,-31.33,7.97,L
7,2017-12-28 12:00:00 AM,-4.975124378109458,1.0526523445108462,17.994376757263357,-16.55811457559856,-31.33,7.97,W
8,2017-09-29 12:00:00 AM,8.53080568720379,1.9527886705379325,5.371428571428579,-19.050285550318723,-28.68,-4.03,L
9,2017-06-30 12:00:00 AM,-2.5906735751295358,3.717922832545882,10.8695652173913,-5.954332758048531,-13.44,0.78,W
10,2017-03-31 12:00:00 AM,0.0,0.0,0.542005420054201,0.0,-15.08,-3.36,W
11,2016-12-29 12:00:00 AM,0.5050505050505055,0.8885711463806681,-4.49591280653951,3.352544732285346,-15.08,-3.36,L
12,2016-09-30 12:00:00 AM,-4.060913705583748,3.5569594182463455,4.432855280312905,-1.1996068935898903,6.42,8.72,W
13,2016-06-30 12:00:00 AM,25.36585365853658,1.003837986646751,-6.275579809004092,-2.0797860246016135,-16.16,6.86,L
14,2016-03-31 12:00:00 AM,-1.3071895424836613,0.0,1.2836970474967861,0.0,-1.09,8.64,W
15,2015-12-30 12:00:00 AM,4.5161290322580685,3.2297525765480644,0.5201560468140447,-4.546664093510981,-1.09,8.64,L
16,2015-09-30 12:00:00 AM,-10.810810810810805,4.3769793780296675,16.993464052287592,-9.274172234975724,-11.21,-0.01,W
17,2015-06-30 12:00:00 AM,39.63414634146341,2.066649678531525,0.7874015748031469,-14.788424243957687,7.47,10.79,L
18,2015-03-31 12:00:00 AM,4.040404040404044,0.0,-3.968253968253968,0.0,-9.13,2.52,L
19,2014-12-30 12:00:00 AM,9.473684210526313,-3.2977486339758326,-2.4427480916030557,-14.238860756293217,-9.13,2.52,L
20,2014-09-30 12:00:00 AM,6.9767441860465045,5.549429102411294,-8.941877794336806,2.7780000465345673,-8.23,0.53,L
21,2014-06-30 12:00:00 AM,7.500000000000007,7.1602449780485316,-14.911080711354321,9.07441662546646,13.96,1.75,L
22,2014-03-31 12:00:00 AM,-4.054054054054058,0.0,3.9285714285714293,0.0,0.93,3.81,W
23,2013-12-30 12:00:00 AM,3.8961038961038996,3.4824503842749843,-5.080545229244116,2.094859274913686,0.93,3.81,L
24,2013-09-30 12:00:00 AM,-9.459459459459469,7.935205534625865,8.84433962264151,-6.046216410090962,-5.37,4.89,W
25,2013-06-28 12:00:00 AM,8.641975308641982,2.434941305356502,3.880983182406218,0.38434522808440663,-17.74,0.73,L
26,2013-03-29 12:00:00 AM,0.0,0.0,0.13458950201883968,0.0,-3.37,8.4,W
27,2012-12-28 12:00:00 AM,10.810810810810805,4.692882235371162,-17.924528301886795,5.067842689376067,-3.37,8.4,L
28,2012-09-28 12:00:00 AM,-4.5454545454545325,9.191235341948717,5.028571428571423,5.494846783088894,12.63,9.85,W
29,2012-06-29 12:00:00 AM,15.942028985507244,3.1920224763904192,-12.876052948255118,4.456019919841868,32.13,33.72,L
30,2012-03-30 12:00:00 AM,-6.896551724137938,0.0,6.609808102345426,0.0,48.87,28.21,W
31,2011-12-29 12:00:00 AM,3.2258064516129057,3.775153402917533,-5.365296803652975,1.1742334824538398,48.87,28.21,L
32,2011-09-30 12:00:00 AM,11.666666666666659,13.74025489478686,-27.843986998916577,14.995860108296636,32.41,21.01,L
33,2011-06-30 12:00:00 AM,20.75471698113208,5.529240369027314,-2.711864406779648,6.16130697838397,26.35,16.08,W
34,2011-03-31 12:00:00 AM,-21.428571428571434,0.0,16.254125412541246,0.0,28.31,20.26,W
35,2010-12-30 12:00:00 AM,-13.725490196078422,5.705868511025088,8.07881773399015,4.808507550294721,28.31,20.26,W
36,2010-09-30 12:00:00 AM,-15.51724137931036,9.168558221852177,3.9657020364415776,24.304101377418977,43.59,28.15,W
