name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
hyundai_0,2019-09-30 0:00,0.975609756,3.048234034,-7.142857143,13.17889754,16.56,6.13,0
hyundai_1,2019-06-28 0:00,-8.374384236,-0.634510807,15.81818182,-11.76319298,-6.01,5.12,1
hyundai_2,2019-03-29 0:00,-2.727272727,0,2.735781138,0,-34.26,1.01,1
hyundai_3,2018-12-28 0:00,11.0619469,0.069946743,-7.54996299,-4.404573331,-34.26,1.01,0
hyundai_4,2018-09-28 0:00,-6.965174129,1.086316699,7.639366827,-25.80148634,-13.95,4.15,1
hyundai_5,2018-06-29 0:00,0.465116279,-0.36813107,25.63338301,-16.9965951,-38.17,-3.6,0
hyundai_6,2018-03-30 0:00,6.074766355,0,-6.913827655,0,-31.33,7.97,0
hyundai_7,2017-12-28 0:00,-4.975124378,1.052652345,17.99437676,-16.55811458,-31.33,7.97,1
hyundai_8,2017-09-29 0:00,8.530805687,1.952788671,5.371428571,-19.05028555,-28.68,-4.03,0
hyundai_9,2017-06-30 0:00,-2.590673575,3.717922833,10.86956522,-5.954332758,-13.44,0.78,1
hyundai_10,2017-03-31 0:00,0,0,0.54200542,0,-15.08,-3.36,1
hyundai_11,2016-12-29 0:00,0.505050505,0.888571146,-4.495912807,3.352544732,-15.08,-3.36,0
hyundai_12,2016-09-30 0:00,-4.060913706,3.556959418,4.43285528,-1.199606894,6.42,8.72,1
hyundai_13,2016-06-30 0:00,25.36585366,1.003837987,-6.275579809,-2.079786025,-16.16,6.86,0
hyundai_14,2016-03-31 0:00,-1.307189542,0,1.283697047,0,-1.09,8.64,1
hyundai_15,2015-12-30 0:00,4.516129032,3.229752577,0.520156047,-4.546664094,-1.09,8.64,0
hyundai_16,2015-09-30 0:00,-10.81081081,4.376979378,16.99346405,-9.274172235,-11.21,-0.01,1
hyundai_17,2015-06-30 0:00,39.63414634,2.066649679,0.787401575,-14.78842424,7.47,10.79,0
hyundai_18,2015-03-31 0:00,4.04040404,0,-3.968253968,0,-9.13,2.52,0
hyundai_19,2014-12-30 0:00,9.473684211,-3.297748634,-2.442748092,-14.23886076,-9.13,2.52,0
hyundai_20,2014-09-30 0:00,6.976744186,5.549429102,-8.941877794,2.778000047,-8.23,0.53,0
hyundai_21,2014-06-30 0:00,7.5,7.160244978,-14.91108071,9.074416625,13.96,1.75,0
hyundai_22,2014-03-31 0:00,-4.054054054,0,3.928571429,0,0.93,3.81,1
hyundai_23,2013-12-30 0:00,3.896103896,3.482450384,-5.080545229,2.094859275,0.93,3.81,0
hyundai_24,2013-09-30 0:00,-9.459459459,7.935205535,8.844339623,-6.04621641,-5.37,4.89,1
hyundai_25,2013-06-28 0:00,8.641975309,2.434941305,3.880983182,0.384345228,-17.74,0.73,0
hyundai_26,2013-03-29 0:00,0,0,0.134589502,0,-3.37,8.4,1
hyundai_27,2012-12-28 0:00,10.81081081,4.692882235,-17.9245283,5.067842689,-3.37,8.4,0
hyundai_28,2012-09-28 0:00,-4.545454545,9.191235342,5.028571429,5.494846783,12.63,9.85,1
hyundai_29,2012-06-29 0:00,15.94202899,3.192022476,-12.87605295,4.45601992,32.13,33.72,0
hyundai_30,2012-03-30 0:00,-6.896551724,0,6.609808102,0,48.87,28.21,1
hyundai_31,2011-12-29 0:00,3.225806452,3.775153403,-5.365296804,1.174233482,48.87,28.21,0
hyundai_32,2011-09-30 0:00,11.66666667,13.74025489,-27.843987,14.99586011,32.41,21.01,0
hyundai_33,2011-06-30 0:00,20.75471698,5.529240369,-2.711864407,6.161306978,26.35,16.08,1
hyundai_34,2011-03-31 0:00,-21.42857143,0,16.25412541,0,28.31,20.26,1
hyundai_35,2010-12-30 0:00,-13.7254902,5.705868511,8.078817734,4.80850755,28.31,20.26,1
hyundai_36,2010-09-30 0:00,-15.51724138,9.168558222,3.965702036,24.30410138,43.59,28.15,1
gs_0,2019-09-30 0:00,5.405405405,2.848758788,-3.462050599,-13.99377049,-6.58,-7.17,0
gs_1,2019-06-28 0:00,22.14285714,1.820389737,-1.158301158,7.215819281,2.24,6.54,0
