,Date,EPS (Earnings per share),배당수익률(FY0),BPS (Book Value),SPS (Sales),PER(Price-Earnings Ratio),PBR,PSR,EV/EVITDA,매출액 Growth,영업이익 Growth,index_value,cap,transaction,win_loss
0,2019-09-30 12:00:00 AM,5373.97,2.05,140875.01,220419.45,15.4,0.6,0.38,8.05,6.13,16.56,9264.97,59792126.75,201057.57,NULL
1,2019-06-28 12:00:00 AM,4665.74,2.03,136580.81,212584.34,16.5,0.62,0.38,8.34,5.12,-6.01,9326.58,59702469.39,201636.54,win
2,2019-03-29 12:00:00 AM,5214.58,2.2,137447.43,209505.05,13.89,0.54,0.35,7.65,1.01,-34.26,8214.21,52546919.92,296338.75,loss
3,2018-12-28 12:00:00 AM,5214.58,2.26,137447.43,209505.05,13.51,0.53,0.34,7.61,1.01,-34.26,7963.47,51194460.18,187204.46,loss
4,2018-09-28 12:00:00 AM,5444.26,2.01,137351.29,208695.41,14.53,0.59,0.38,8.16,4.15,-13.95,8984.04,57755367.77,305982.54,win
5,2018-06-29 12:00:00 AM,6848.96,2.15,135859.22,209162.56,13.42,0.56,0.36,7.67,-3.6,-38.17,8334.54,53836334.95,446132.51,loss
6,2018-03-30 12:00:00 AM,8013.05,2.14,136359.36,211124.64,9.98,0.6,0.38,6.92,7.97,-31.33,8955.52,57696529.74,543273.58,win
7,2017-12-28 12:00:00 AM,8013.05,2.01,136359.36,211124.64,10.67,0.64,0.41,7.23,7.97,-31.33,9560.53,61594363.12,178863.22,win
8,2017-09-29 12:00:00 AM,9339.86,2.11,134923.97,207203.4,8.75,0.62,0.39,6.36,-4.03,-28.68,9090.96,58569132.63,288537.23,loss
9,2017-06-30 12:00:00 AM,11119.13,1.93,132289.19,207643.28,8.28,0.7,0.43,6.08,0.78,-13.44,9924.32,66904968.55,234549.13,win
10,2017-03-31 12:00:00 AM,11781.2,1.98,127370.78,207221.78,7.38,0.7,0.42,5.64,-3.36,-15.08,9689.86,65231029.96,254037.19,loss
11,2016-12-29 12:00:00 AM,11781.2,1.98,127370.78,207221.78,7.34,0.7,0.42,5.62,-3.36,-15.08,9655.76,65001475.51,161625.61,loss
12,2016-09-30 12:00:00 AM,11386.23,1.97,126239.0,208935.86,7.67,0.71,0.42,5.97,8.72,6.42,9673.04,65117755.95,269609.44,win
13,2016-06-30 12:00:00 AM,11522.82,2.05,121748.73,204423.79,7.33,0.7,0.41,6.01,6.86,-16.16,9319.34,62736738.56,600172.63,loss
