Name,Date,MA,Index_value,EPS_growth,BPS_growth,PER_growth,FYO_growh,Profit growth,Revenue_growth,W/L
1_1,2006-06-30 0:00,8398.553667,8510.02,-7.360422335,1.285863303,18.84920635,2.51,-5.3,-20.68,1
1_2,2006-06-30 0:00,8231.954444,8228.53,0,0,9.413202934,1.7,4.95,21.69,1
1_3,2006-06-30 0:00,8229.959444,7357.46,1.015329465,3.421748184,-31.4439946,1.87,4.95,21.69,1
1_4,2006-06-30 0:00,7933.569667,8786.99,8.128693521,-9.460071253,0.821355236,1.49,1.77,14.45,0
1_5,2006-06-30 0:00,8457.673444,8619.2,1.207837725,-3.906267716,-20.70393375,1.54,15.14,63.82,0
1_6,2006-06-30 0:00,8942.640778,9057.96,0,0,-1.715265866,0.95,17.74,145.93,0
1_7,2006-06-30 0:00,9075.556333,9152.05,14.27606836,3.919274233,-19.30860034,0.95,17.74,145.93,0
1_8,2006-06-30 0:00,9360.198,9125.13,13.78281654,4.746362173,-10.38869258,0.95,11.52,73.43,1
1_9,2006-09-29 0:00,9059.069,8644.27,12.49033173,-9.229053011,-20.87067862,1,4.51,51.24,1
1_10,2006-09-29 0:00,8297.937333,7432.85,0,0,10.32838983,0.93,1.24,-5.2,1
1_11,2006-09-29 0:00,7272.408556,6612.23,-12.31340352,0.846028,15.06202008,1.04,1.24,-5.2,1
1_12,2006-09-29 0:00,6560.667444,6377.51,10.14708339,-8.195473219,-0.973574409,1.14,12.42,35.21,1
1_13,2006-09-29 0:00,6309.624556,5780.67,-19.26932373,-4.398554252,12.60330579,1.25,3.48,-5.75,1
1_14,2006-09-29 0:00,5715.005333,5613.12,0,0,-0.394011032,1.19,8.86,30.32,1
1_15,2006-09-29 0:00,5369.334222,5589.82,27.83406398,20.71965272,-6.043956044,1.19,8.86,30.32,0
1_16,2006-09-29 0:00,5556.345333,5226.29,-22.65460756,3.452489285,1.33234641,1.27,-7.28,-26.66,1
1_17,2006-12-28 0:00,5462.126667,5757.57,-5.955141427,3.84435397,6.526631658,1.18,-4.64,-23.2,0
1_18,2006-12-28 0:00,5944.583556,6270.18,0,0,8.667736758,0.84,-12.8,-50.14,0
1_19,2006-12-28 0:00,6144.673556,5907.77,-12.8959356,1.452321713,21.08963093,0.87,-12.8,-50.14,1
1_20,2006-12-28 0:00,5765.022667,5605.93,1.022193389,8.193213016,-4.454342984,0.99,-6.23,-17.26,0
1_21,2006-12-28 0:00,5788.163333,6107.58,-0.629886693,2.116094217,0.213219616,0.93,1.95,-17.15,0
1_22,2006-12-28 0:00,6234.980556,6134.58,0,0,-2.136752137,0.77,3.65,10.75,1
1_23,2006-12-28 0:00,6042.760889,6293.45,-0.629055244,3.192421875,0.732217573,0.75,3.65,10.75,0
1_24,2006-12-28 0:00,6373.068556,6367.14,9.599489174,6.502855729,-3.161222339,0.74,14.81,30.13,1
1_25,2007-03-30 0:00,6269.351444,6145.94,8.654484216,0.294489651,-25.12768131,0.8,16.44,77.39,0
1_26,2007-03-30 0:00,6420.959444,6859.41,0,0,0.653061224,0.62,22.52,77.43,0
1_27,2007-03-30 0:00,6741.643556,6841.96,16.12284225,5.587962589,-11.50369762,0.62,22.52,77.43,1
1_28,2007-03-30 0:00,6471.425444,6368.57,17.54402649,11.20522098,0.515843773,0.67,17.61,51.44,1
1_29,2007-03-30 0:00,6038.935556,5838.66,0.107508722,5.122877038,-16.44444444,0.74,14.32,61.99,1
1_30,2007-03-30 0:00,5987.235556,6158.97,0,0,15.3307888,0.95,2.62,-15.84,1
1_31,2007-03-30 0:00,5849.397778,5214.54,-7.892811489,2.446867901,19.15852742,1.12,2.62,-15.84,1
1_32,2007-03-30 0:00,5100.285222,4517.35,-10.72383263,2.815287569,-3.810408922,1.28,3.47,-22.42,1
1_33,2007-06-29 0:00,4652.743889,4917.21,6.554094269,5.603302253,-8.952551477,1.08,11.14,172.92,0
1_34,2007-06-29 0:00,5029.341222,5186.93,0,0,-2.382908792,0.87,5.98,22.42,0
1_35,2007-06-29 0:00,5169.876111,5295.03,4.142203863,5.657156332,10.83467095,0.85,5.98,22.42,1
1_36,2007-06-29 0:00,4900.411111,4496.58,34.26421522,20.43587359,-9.900990099,0.99,10.54,6.3,1
1_37,2007-06-29 0:00,4467.509444,4392.68,25.56962068,4.090136538,-67.07616708,0.93,30.25,2661.06,0
1_38,2007-06-29 0:00,4472.507444,4408.48,0,0,1.715686275,0.74,17.55,102.9,1
1_39,2007-06-29 0:00,4356.256444,4320.4,27.8791261,5.714292511,-39.75062344,0.75,17.55,102.9,1
1_40,2007-06-29 0:00,4177.042222,4404.07,-16.35881723,6.198605676,20.84225553,0.74,9.52,-21.34,1
1_41,2007-09-28 0:00,4007.105,3358.05,-28.31121366,-0.077541274,42.7412083,0.99,1.83,-105.19,1
1_42,2007-09-28 0:00,3351.171,3007.95,0,0,14.01574803,1.38,20.52,-29.61,1
1_43,2007-09-28 0:00,2883.219889,2564.16,-7.517206862,3.678976183,-13.55311355,1.6,20.52,-29.61,1
1_44,2007-09-28 0:00,2698.211889,3104.24,12.50071673,5.49582196,-23.62903226,1.33,23.87,81.21,0
1_45,2007-09-28 0:00,3098.599,3523.59,-1.1953209,2.513708287,-6.523157208,1.11,13.29,0.18,0
1_46,2007-09-28 0:00,3684.615556,3574.73,0,0,3.123086344,0.78,9.11,16.79,1
1_47,2007-09-28 0:00,3468.102556,3460.15,-2.772783847,-1.854355493,-5.436156764,0.8,9.11,16.79,1
1_48,2007-09-28 0:00,3449.603222,3598.07,-2.236618256,4.03027229,6.354916067,0.77,5.98,-23.33,0
1_49,2007-12-28 0:00,3557.127,3284.98,-1.965712328,3.549117763,13.8284251,0.9,2.44,-9.05,1
