Name,Date,MA,EPS,BPS,SPS,PER,PBR,PSR,EV/EBITDA,Profit Growth,Revenue Growth,FYO growth,W/L
gs_01,2019-09-30 0:00,8723.177,6626.52,2.96,68429.1,181893.33,7.51,0.73,0.27,5.73,-7.17,-6.58,0
gs_02,2019-06-28 0:00,8991.996667,7553.82,2.8,66479.72,190022.24,7.77,0.79,0.28,6.1,6.54,2.24,1
gs_03,2019-03-29 0:00,8926.411667,7008.75,2.18,65269.53,191454.58,7.86,0.83,0.29,5.75,11.03,56.18,1
gs_04,2018-12-28 0:00,8529.765667,7008.75,2.17,65269.53,191454.58,7.88,0.83,0.29,5.7,11.03,56.18,1
gs_05,2018-09-28 0:00,7761.897,6008.07,2.01,63449.08,187779.2,9.98,0.93,0.32,6.58,16.4,52.38,0
gs_06,2018-06-29 0:00,8391.907333,4670.14,2.08,63369.49,175621.62,11.37,0.94,0.32,6.87,7.79,7.82,0
gs_07,2018-03-30 0:00,9534.585,5640.9,2.3,63165.87,172444.17,9.29,0.83,0.3,7.07,19.8,17.02,1
gs_08,2017-12-28 0:00,9480.621667,5640.9,2.19,63165.87,172444.17,9.74,0.87,0.32,7.26,19.8,17.02,0
gs_09,2017-09-29 0:00,9512.247,5363.76,2.23,61484.4,165063.66,10.08,0.89,0.33,7.39,13.8,-8.7,0
gs_10,2017-06-30 0:00,9631.997667,5531.93,1.93,59873.92,165009.32,10.55,1.06,0.39,7.53,15.82,25.54,1
gs_11,2017-03-31 0:00,9274.806667,3896.49,1.75,57806.16,161952.98,16.58,1.03,0.4,10.29,5.58,34.24,0
gs_12,2016-12-29 0:00,9697.762667,3896.49,1.98,57806.16,161952.98,14.71,0.92,0.35,9.94,5.58,34.24,1
gs_13,2016-09-30 0:00,9536.375667,3756.75,1.95,57053.4,163008.79,15.8,0.94,0.36,10.89,5.23,-23.89,1
gs_14,2016-06-30 0:00,9333.638667,3498.41,1.99,62051.86,157432.69,15.94,0.96,0.36,6.87,5.67,746.11,0
gs_15,2016-03-31 0:00,9982.505,1960.03,1.68,63922.06,159304.32,31.77,0.98,0.39,13.94,12.42,207.51,1
gs_16,2015-12-30 0:00,9554.530333,1960.03,1.81,63922.06,159304.32,29.51,0.91,0.36,13.38,12.42,207.51,0
gs_17,2015-09-30 0:00,10558.32367,763.33,1.72,56116.68,137555.64,51.96,0.98,0.39,15.61,16.95,437.23,1
gs_18,2015-06-30 0:00,9091.695333,-946.75,1.74,54818.47,134035.93,-165.2,0.98,0.4,28.52,5.35,-204.66,0
gs_19,2015-03-31 0:00,11071.72567,-303.39,2.19,56539.65,134395.21,-163.64,0.84,0.37,24.9,3.01,-49.31,1
gs_20,2014-12-30 0:00,11026.743,-303.39,2,56539.65,134395.21,-141.8,0.73,0.32,22.86,3.01,-49.31,0
gs_21,2014-09-30 0:00,11601.18667,666.34,1.76,56658.92,135724.27,74.4,0.82,0.37,19.06,10.48,855.43,0
gs_22,2014-06-30 0:00,13766.44533,-1011.01,1.76,59533.38,130784.6,203.63,0.87,0.37,24.57,11.64,-113.86,0
gs_23,2014-03-31 0:00,14003.41167,97.47,1.84,60487.65,133939.85,504.35,0.82,0.39,27.26,-1.34,-34.98,1
gs_24,2013-12-30 0:00,13433.74733,97.47,1.67,60487.65,133939.85,555.33,0.9,0.43,29.16,-1.34,-34.98,0
gs_25,2013-09-30 0:00,14651.99233,526.8,1.64,59715.88,134542.51,104.87,0.93,0.43,23.72,-9.89,-91.25,1
gs_26,2013-06-28 0:00,13051.656,3844.06,1.83,61165.89,132491.98,36.67,0.84,0.38,15.62,-5.31,-43.47,1
gs_27,2013-03-29 0:00,12261.957,4500.21,1.76,61411.32,134318.04,13.4,0.99,0.45,11.3,13.17,29.32,0
gs_28,2012-12-28 0:00,12846.53533,4500.21,1.68,61411.32,134318.04,14.05,1.04,0.47,11.7,13.17,29.32,0
gs_29,2012-09-28 0:00,13924.16433,4144.81,1.63,59985.79,130371.71,15.66,1.09,0.5,12.43,17.73,-44.88,0
gs_30,2012-06-29 0:00,14347.65067,7205.02,1.92,56861.4,111868.01,10.02,0.93,0.44,8.28,14.52,-6.46,0
gs_31,2012-03-30 0:00,15548.272,8041.11,1.61,54574.22,37704.37,8.52,1.15,0.82,2.69,13.67,9.02,1
gs_32,2011-12-29 0:00,14218.31433,8041.11,1.78,54574.22,37704.37,6.75,0.98,0.86,2.83,13.67,9.02,0
gs_33,2011-09-30 0:00,14556.122,8529.47,1.65,53808.46,37009.35,6.93,1.08,0.81,1.6,14.17,-1.38,0
gs_34,2011-06-30 0:00,16118.15333,7311.07,1.25,49821.69,59400.71,8.72,1.47,0.97,1.85,41.71,57.07,1
gs_35,2011-03-31 0:00,15519.313,6731.7,1.13,51413.12,58073.07,13.27,1.77,1.53,10.74,0.46,-8.04,1
gs_36,2010-12-30 0:00,12726.086,6731.7,1.38,51413.12,58073.07,10.84,1.44,1.25,8.85,0.46,-8.04,1
gs_37,2010-09-30 0:00,11140.297,6577.57,1.7,49484.85,58008.07,9.13,1.23,1.04,7.37,11.47,62.49,1
hhi_01,2019-09-30 0:00,8723.177,-711.91,1.84,143110.43,295641.95,-144.54,0.73,0.35,21.85,6.58,0.94,0
hhi_02,2019-06-28 0:00,8991.996667,-1373.98,1.87,145519.18,293616.39,-41.18,0.71,0.35,23.4,47.16,0.92,1
hhi_03,2019-03-29 0:00,8926.411667,-2093.97,0,151823.88,274592.27,-52.87,0.71,0.4,13.97,15.76,-53.24,1
