,name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
74,lg_0,2019-09-30 0:00,10.45751634,1.918827957,4.850746269,-25.91707011,-41.09,-0.47,0
32,hyundai_32,2011-09-30 0:00,11.66666667,13.74025489,-27.843987,14.99586011,32.41,21.01,0
64,gs_27,2012-12-28 0:00,2.976190476,2.321282135,-11.45907473,7.897409232,29.32,13.17,0
110,lg_36,2010-09-30 0:00,-7.3170731710000005,9.444113135,2.557856273,24.6397089,-39.52,56.15,1
9,hyundai_9,2017-06-30 0:00,-2.590673575,3.7179228330000003,10.86956522,-5.954332758,-13.44,0.78,1
273,hhi_14,2016-03-31 0:00,-1.769911504,0.0,0.947521866,0.0,20.13,10.32,1
1,hyundai_1,2019-06-28 0:00,-8.374384236000001,-0.6345108070000001,15.81818182,-11.76319298,-6.01,5.12,1
265,hhi_6,2018-03-30 0:00,1.5625,-0.067467271,-0.7114624509999999,-0.06292049200000001,36.74,7.51,0
88,lg_14,2016-03-31 0:00,0.9259259259999999,0.0,-0.598802395,0.0,-0.23,0.68,1
116,lotte_5,2018-06-29 0:00,60.40609137,17.72380149,-57.45697897,37.3577849,0.82,11.39,0
176,posco_28,2012-09-28 0:00,-5.418719212,-3.322613047,28.215223100000003,-50.88539419,-27.48,-3.58,1
156,posco_8,2017-09-29 0:00,-9.502262443,-1.840399706,0.07057163,30.96905506,38.99,25.34,1
229,SK_7,2017-12-28 0:00,1.8518518519999998,5.862023561,-33.61445783,23.51873192,156.33,15.21,0
205,samsung_20,2014-09-30 0:00,6.0606060610000005,8.193213016,-4.454342984,1.0221933890000001,-17.26,-6.23,0
97,lg_23,2013-12-30 0:00,2.5,0.620881464,-3.42498794,1.470610952,15.53,2.44,0
125,lotte_14,2016-03-31 0:00,-14.63414634,0.0,12.36777868,0.0,45.34,0.34,1
67,gs_30,2012-03-30 0:00,-10.55900621,0.0,20.77464789,0.0,9.02,13.67,1
80,lg_6,2018-03-30 0:00,4.464285714,0.0,-4.423963134,0.0,60.53,14.2,0
240,SK_18,2015-03-31 0:00,39.81481481,0.0,1.6492578340000001,0.0,-8.95,-0.8,1
40,gs_3,2018-12-28 0:00,7.373271889,2.789126871,-26.64974619,14.27758159,56.18,11.03,0
179,posco_31,2011-12-29 0:00,-2.450980392,-0.287298421,19.18294849,-21.01513671,-68.52,17.52,1
278,hhi_19,2014-12-30 0:00,1.01010101,4.075067371,3.95256917,-4.596086736,-19.68,-1.9,0
162,posco_14,2016-03-31 0:00,-26.38436482,0.0,95.46141489,0.0,-21.33,-14.43,1
256,SK_34,2011-03-31 0:00,-4.210526316,0.0,3.77245509,0.0,40.3,9.81,1
294,hhi_35,2010-12-30 0:00,-10.1010101,3.7739666389999997,4.848484848,2.482947227,22.45,9.88,1
108,lg_34,2011-03-31 0:00,0.8771929820000001,0.0,-0.9746588690000001,0.0,-25.2,34.74,0
14,hyundai_14,2016-03-31 0:00,-1.307189542,0.0,1.283697047,0.0,-1.09,8.64,1
11,hyundai_11,2016-12-29 0:00,0.505050505,0.888571146,-4.495912807,3.3525447319999997,-15.08,-3.36,0
184,posco_36,2010-09-30 0:00,-13.17829457,-2.036717896,-4.680851064,35.71155409,1060.61,27.37,1
117,lotte_6,2018-03-30 0:00,-12.82051282,0.0,11.41469338,0.0,-12.54,-35.92,1
76,lg_2,2019-03-29 0:00,-11.94029851,0.0,11.18793212,0.0,-12.31,-0.03,1
101,lg_27,2012-12-28 0:00,-3.658536585,1.8998094140000001,-70.66381156,43.64236124,58.6,3.03,1
52,gs_15,2015-12-30 0:00,4.972375691,12.21077669,-76.07590647,61.05518793,207.51,12.42,0
170,posco_22,2014-03-31 0:00,7.425742574,0.0,-8.199356912999999,0.0,-35.53,-3.98,0
208,samsung_23,2013-12-30 0:00,1.333333333,3.192421875,0.732217573,-0.629055244,10.75,3.65,0
3,hyundai_3,2018-12-28 0:00,11.0619469,0.06994674299999999,-7.54996299,-4.404573331,-34.26,1.01,0
147,lotte_36,2010-09-30 0:00,-27.90697674,4.402443871,25.76512456,1.155299187,3.88,15.54,1
37,gs_0,2019-09-30 0:00,5.405405405,2.848758788,-3.462050599,-13.99377049,-6.58,-7.17,0
7,hyundai_7,2017-12-28 0:00,-4.975124378,1.052652345,17.99437676,-16.55811458,-31.33,7.97,1
274,hhi_15,2015-12-30 0:00,-1.739130435,4.108608611,-11.55261221,12.0572387,20.13,10.32,1
250,SK_28,2012-09-28 0:00,-10.28571429,-64.46161833,35.70948218,-218.3179755,-59.41,7.35,1
103,lg_29,2012-06-29 0:00,-16.49484536,0.494777731,-36.31503920000001,13.8511342,103.6,2.3,0
46,gs_9,2017-06-30 0:00,9.32642487,3.453523671,-57.156398100000004,29.56364235,25.54,15.82,1
243,SK_21,2014-06-30 0:00,-15.15151515,0.38992613600000003,19.9741435,-22.26724741,1.79,-6.81,1
68,gs_31,2011-12-29 0:00,7.303370787,1.4031533569999999,-2.666666667,-6.073290877000001,9.02,13.67,0
191,samsung_6,2018-03-30 0:00,0.0,0.0,-1.715265866,0.0,145.93,17.74,0
31,hyundai_31,2011-12-29 0:00,3.225806452,3.775153403,-5.365296804,1.174233482,48.87,28.21,0
272,hhi_13,2016-06-30 0:00,25.65789474,-0.103809258,-1.931649331,-3.655723594,13.5,0.1,0
207,samsung_22,2014-03-31 0:00,2.597402597,0.0,-2.1367521369999998,0.0,10.75,3.65,0
87,lg_13,2016-06-30 0:00,19.40298507,-1.1885073240000001,5.746536685,-12.20391968,-27.51,-0.37,0
245,SK_23,2013-12-30 0:00,-8.783783784,1.6951738090000001,-7.959022853,14.59388764,17.13,-6.46,1
89,lg_15,2015-12-30 0:00,-14.01869159,2.870524275,12.17532468,0.230985379,-0.23,0.68,1
51,gs_14,2016-03-31 0:00,-7.738095238,0.0,7.11362921,0.0,207.51,12.42,1
